label,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41
0,0.000000,0.000000,-0.288478,-0.087561,-0.544579,-0.311937,-0.737701,-0.484911,-0.885212,-0.562089,-0.314710,-0.918417,-0.429820,-1.276240,-0.499826,-1.488398,-0.556835,-1.669783,-0.141079,-0.989998,-0.160072,-1.435918,-0.171338,-1.703672,-0.167886,-1.930985,0.019907,-0.946048,0.061792,-1.353479,0.084729,-1.602424,0.104889,-1.825069,0.176161,-0.816522,0.322915,-1.074207,0.419336,-1.248841,0.502575,-1.430458
0,0.000000,0.000000,-0.290125,-0.087694,-0.544213,-0.312391,-0.734800,-0.486310,-0.887965,-0.562900,-0.317914,-0.918744,-0.431031,-1.274042,-0.501322,-1.485272,-0.559246,-1.665225,-0.143930,-0.989588,-0.161065,-1.433166,-0.172802,-1.701250,-0.170701,-1.927947,0.017624,-0.944292,0.059512,-1.351623,0.081633,-1.600813,0.100248,-1.822842,0.174765,-0.812950,0.321208,-1.070473,0.416778,-1.243958,0.498816,-1.423013
0,0.000000,0.000000,-0.289519,-0.088208,-0.544119,-0.314203,-0.735758,-0.486753,-0.885361,-0.558869,-0.315627,-0.919479,-0.427813,-1.275385,-0.497486,-1.487297,-0.554687,-1.667760,-0.141213,-0.989979,-0.157742,-1.434975,-0.169457,-1.704432,-0.167063,-1.932874,0.020231,-0.944536,0.063119,-1.353827,0.086181,-1.604244,0.105936,-1.827948,0.176572,-0.813477,0.324942,-1.070383,0.422504,-1.244193,0.506519,-1.424733
0,0.000000,0.000000,-0.292244,-0.086168,-0.546924,-0.313169,-0.739316,-0.485496,-0.888725,-0.559292,-0.321158,-0.918822,-0.433251,-1.271930,-0.502306,-1.482557,-0.559162,-1.661046,-0.146677,-0.989184,-0.164344,-1.430851,-0.175539,-1.700161,-0.172473,-1.926084,0.014861,-0.944373,0.056165,-1.352092,0.078933,-1.600026,0.098379,-1.819523,0.172146,-0.815293,0.318874,-1.069737,0.414335,-1.240538,0.496257,-1.417427
0,0.000000,0.000000,-0.290625,-0.089143,-0.544748,-0.313463,-0.736636,-0.484035,-0.883401,-0.560752,-0.316090,-0.920865,-0.428871,-1.276002,-0.498723,-1.487693,-0.555854,-1.668181,-0.141771,-0.989899,-0.158995,-1.433601,-0.171781,-1.702491,-0.169646,-1.929354,0.018657,-0.944036,0.060644,-1.352735,0.083382,-1.601453,0.103374,-1.823876,0.173623,-0.814041,0.321365,-1.068984,0.418238,-1.243759,0.501821,-1.426711
0,0.000000,0.000000,-0.286128,-0.088303,-0.539778,-0.313592,-0.729631,-0.484884,-0.877738,-0.558271,-0.316914,-0.919737,-0.426943,-1.272265,-0.496356,-1.481364,-0.553544,-1.659476,-0.143724,-0.989618,-0.158946,-1.430232,-0.170043,-1.695375,-0.167135,-1.920502,0.017380,-0.943603,0.060230,-1.349645,0.084331,-1.597387,0.105555,-1.818113,0.173303,-0.811655,0.319633,-1.064567,0.416489,-1.235654,0.500782,-1.412934
0,0.000000,0.000000,-0.285239,-0.088904,-0.538813,-0.313786,-0.727907,-0.484931,-0.877965,-0.558769,-0.315540,-0.920599,-0.426180,-1.273150,-0.495204,-1.482509,-0.552000,-1.660818,-0.142106,-0.989851,-0.157260,-1.430763,-0.168562,-1.695209,-0.166152,-1.920515,0.019264,-0.942838,0.062166,-1.349069,0.085222,-1.598585,0.105360,-1.820450,0.174620,-0.809237,0.320015,-1.063169,0.415330,-1.236462,0.497953,-1.415247
0,0.000000,0.000000,-0.291761,-0.088627,-0.548884,-0.312806,-0.742291,-0.480918,-0.888172,-0.555364,-0.317830,-0.919700,-0.431632,-1.273941,-0.504624,-1.484291,-0.564439,-1.662803,-0.145453,-0.989365,-0.164738,-1.430203,-0.178471,-1.698141,-0.176857,-1.924302,0.016096,-0.944857,0.055747,-1.350783,0.078477,-1.598354,0.098358,-1.816803,0.174710,-0.815749,0.319338,-1.068649,0.414174,-1.240143,0.496816,-1.416663
0,0.000000,0.000000,-0.287540,-0.092114,-0.542947,-0.313028,-0.732021,-0.480413,-0.874639,-0.553065,-0.309019,-0.918347,-0.422762,-1.273027,-0.496007,-1.483913,-0.555723,-1.664807,-0.138030,-0.990428,-0.157095,-1.433797,-0.170137,-1.699331,-0.168016,-1.924797,0.023845,-0.948384,0.062630,-1.353462,0.085318,-1.600682,0.106334,-1.816331,0.183339,-0.819180,0.328193,-1.072896,0.424176,-1.246753,0.509103,-1.422140
0,0.000000,0.000000,-0.285525,-0.091756,-0.538188,-0.321415,-0.729100,-0.490491,-0.881792,-0.551073,-0.314748,-0.915807,-0.428350,-1.262448,-0.500501,-1.471117,-0.559846,-1.649329,-0.145196,-0.989403,-0.163534,-1.429090,-0.176049,-1.694235,-0.174080,-1.917506,0.016929,-0.947955,0.056629,-1.351379,0.077955,-1.598155,0.098872,-1.809674,0.176572,-0.819294,0.323646,-1.069350,0.419569,-1.240307,0.505767,-1.410869
0,0.000000,0.000000,-0.282844,-0.091103,-0.535514,-0.316085,-0.725887,-0.480426,-0.876960,-0.541867,-0.317262,-0.917025,-0.433019,-1.268680,-0.505567,-1.477937,-0.565290,-1.656584,-0.146186,-0.989257,-0.165186,-1.432999,-0.177604,-1.698497,-0.175773,-1.922271,0.016457,-0.946870,0.057072,-1.352060,0.080645,-1.598957,0.102370,-1.812983,0.174869,-0.818121,0.322100,-1.068394,0.418158,-1.241793,0.503361,-1.417577
0,0.000000,0.000000,-0.282772,-0.090234,-0.534936,-0.316659,-0.723557,-0.485827,-0.872632,-0.550402,-0.310590,-0.915925,-0.422949,-1.265133,-0.495314,-1.473460,-0.554646,-1.650568,-0.140739,-0.990047,-0.158354,-1.431962,-0.170898,-1.697234,-0.168490,-1.920309,0.019810,-0.948602,0.061001,-1.354489,0.084021,-1.602727,0.106745,-1.816726,0.175890,-0.819324,0.324391,-1.070381,0.421726,-1.243344,0.509061,-1.417045
0,0.000000,0.000000,-0.282821,-0.088432,-0.532734,-0.316126,-0.721183,-0.484535,-0.869731,-0.553690,-0.310670,-0.920801,-0.422836,-1.270429,-0.493571,-1.479252,-0.551519,-1.656534,-0.140154,-0.990130,-0.157584,-1.426376,-0.169582,-1.690442,-0.166667,-1.914007,0.018685,-0.943970,0.060359,-1.346175,0.083775,-1.590385,0.105657,-1.806237,0.173500,-0.813994,0.319209,-1.060737,0.415922,-1.228769,0.501813,-1.403461
0,0.000000,0.000000,-0.282712,-0.093154,-0.536309,-0.325120,-0.725398,-0.499166,-0.875654,-0.568102,-0.307233,-0.922599,-0.420180,-1.276501,-0.491000,-1.484499,-0.548972,-1.660094,-0.136458,-0.990646,-0.152828,-1.428026,-0.165491,-1.688914,-0.163455,-1.910651,0.023769,-0.944512,0.066374,-1.345538,0.087866,-1.592828,0.107515,-1.810411,0.181204,-0.813826,0.324318,-1.065972,0.417444,-1.236719,0.499012,-1.411554
0,0.000000,0.000000,-0.282360,-0.091556,-0.533838,-0.322635,-0.722235,-0.496113,-0.871784,-0.565426,-0.306149,-0.920245,-0.416308,-1.273908,-0.486182,-1.482220,-0.543571,-1.658008,-0.136440,-0.990648,-0.152826,-1.430149,-0.165648,-1.693158,-0.164113,-1.914421,0.022678,-0.946282,0.064552,-1.351698,0.087772,-1.599897,0.109267,-1.815452,0.178601,-0.816967,0.324512,-1.066860,0.419740,-1.236757,0.503946,-1.409039
0,0.000000,0.000000,-0.282498,-0.095506,-0.534544,-0.328152,-0.723517,-0.502289,-0.875211,-0.573003,-0.305883,-0.923100,-0.419104,-1.277685,-0.489747,-1.487563,-0.547519,-1.665863,-0.135980,-0.990712,-0.151648,-1.428161,-0.164233,-1.689539,-0.162978,-1.910255,0.024621,-0.945069,0.069748,-1.345611,0.092182,-1.592943,0.111772,-1.807757,0.182114,-0.815430,0.325568,-1.069619,0.417843,-1.241524,0.498017,-1.415163
0,0.000000,0.000000,-0.284460,-0.097432,-0.540323,-0.330713,-0.730544,-0.508570,-0.879513,-0.578802,-0.307549,-0.921329,-0.416104,-1.276491,-0.484075,-1.486248,-0.539148,-1.663869,-0.136541,-0.990634,-0.151138,-1.430756,-0.162075,-1.692164,-0.159242,-1.912340,0.026094,-0.946728,0.070140,-1.349889,0.093261,-1.599512,0.114164,-1.815266,0.186363,-0.815695,0.333017,-1.070587,0.428514,-1.242486,0.512498,-1.413555
0,0.000000,0.000000,-0.288875,-0.099078,-0.543252,-0.333413,-0.731158,-0.517274,-0.882963,-0.602145,-0.310938,-0.922338,-0.421321,-1.280116,-0.487198,-1.492455,-0.539829,-1.674809,-0.139579,-0.990211,-0.155620,-1.429522,-0.166845,-1.691331,-0.163575,-1.913899,0.022382,-0.945586,0.065243,-1.347591,0.088946,-1.594802,0.111036,-1.810868,0.181779,-0.815509,0.325204,-1.071089,0.417626,-1.243887,0.498385,-1.418607
0,0.000000,0.000000,-0.290423,-0.095580,-0.549241,-0.333258,-0.742912,-0.520788,-0.897261,-0.604827,-0.310322,-0.921683,-0.419389,-1.280818,-0.485852,-1.493000,-0.539389,-1.672110,-0.139611,-0.990206,-0.155918,-1.431294,-0.166425,-1.694674,-0.162711,-1.918099,0.021674,-0.945432,0.065131,-1.348445,0.088872,-1.599186,0.110240,-1.817753,0.180899,-0.813523,0.329345,-1.068919,0.424572,-1.241719,0.507191,-1.415134
0,0.000000,0.000000,-0.296017,-0.102639,-0.551373,-0.344136,-0.747206,-0.530640,-0.907842,-0.606204,-0.313488,-0.923029,-0.423018,-1.280788,-0.486129,-1.494627,-0.536260,-1.676535,-0.140371,-0.990099,-0.155135,-1.429230,-0.163097,-1.694352,-0.156517,-1.916269,0.020489,-0.945364,0.065449,-1.347265,0.093440,-1.593568,0.119274,-1.807498,0.177180,-0.815838,0.324626,-1.068381,0.418776,-1.239520,0.499869,-1.412278
0,0.000000,0.000000,-0.291000,-0.106525,-0.550111,-0.345844,-0.738150,-0.537217,-0.886779,-0.616291,-0.300971,-0.923496,-0.409135,-1.277275,-0.470894,-1.489597,-0.519037,-1.672400,-0.127014,-0.991901,-0.139568,-1.428700,-0.147819,-1.688712,-0.141757,-1.910840,0.034526,-0.947071,0.084724,-1.344443,0.112192,-1.590371,0.138371,-1.802774,0.187834,-0.812736,0.333493,-1.064590,0.425229,-1.234695,0.505235,-1.402945
0,0.000000,0.000000,-0.296779,-0.110270,-0.554865,-0.361832,-0.752165,-0.555954,-0.922107,-0.630431,-0.305001,-0.927309,-0.407819,-1.287019,-0.471044,-1.502079,-0.521780,-1.685635,-0.128248,-0.991742,-0.133341,-1.433288,-0.139650,-1.699606,-0.133005,-1.926516,0.034608,-0.944628,0.087572,-1.345144,0.113705,-1.595954,0.137542,-1.814182,0.190971,-0.812187,0.340974,-1.066049,0.436946,-1.238379,0.519992,-1.410963
0,0.000000,0.000000,-0.289439,-0.115631,-0.547358,-0.356133,-0.731277,-0.553224,-0.879114,-0.640493,-0.297432,-0.924569,-0.404462,-1.284375,-0.465331,-1.498083,-0.512209,-1.684692,-0.123767,-0.992311,-0.136285,-1.431078,-0.144258,-1.690907,-0.138118,-1.913727,0.038245,-0.947816,0.087889,-1.343878,0.117256,-1.593955,0.145200,-1.806523,0.190713,-0.811645,0.337196,-1.061043,0.432275,-1.226676,0.515403,-1.386113
0,0.000000,0.000000,-0.286803,-0.114899,-0.544965,-0.347229,-0.725172,-0.539227,-0.854702,-0.626821,-0.283696,-0.929934,-0.387935,-1.286240,-0.450174,-1.498865,-0.498913,-1.683780,-0.110315,-0.993897,-0.115834,-1.430256,-0.121612,-1.688516,-0.113572,-1.907973,0.050167,-0.946804,0.104821,-1.342450,0.132269,-1.594024,0.157648,-1.812335,0.198966,-0.807417,0.349883,-1.051505,0.447769,-1.216987,0.534853,-1.380157
0,0.000000,0.000000,-0.284249,-0.113826,-0.536774,-0.352862,-0.718404,-0.545104,-0.861734,-0.627954,-0.282103,-0.931741,-0.386141,-1.289892,-0.445264,-1.505147,-0.491413,-1.692085,-0.107265,-0.994230,-0.110285,-1.430128,-0.113563,-1.691049,-0.104132,-1.911509,0.054217,-0.944989,0.110763,-1.341288,0.138681,-1.591959,0.163388,-1.809226,0.204559,-0.806093,0.357169,-1.051833,0.457603,-1.218081,0.546569,-1.382611
0,0.000000,0.000000,-0.285178,-0.113981,-0.536945,-0.358431,-0.722038,-0.546568,-0.868252,-0.616907,-0.286139,-0.933881,-0.385947,-1.295170,-0.442429,-1.514712,-0.487171,-1.705071,-0.109486,-0.993988,-0.105846,-1.435423,-0.104122,-1.702574,-0.091437,-1.928286,0.052870,-0.943942,0.112205,-1.345851,0.142442,-1.600469,0.168800,-1.821352,0.205025,-0.806581,0.361895,-1.052268,0.466605,-1.219418,0.559459,-1.385857
